Name_HG,Image_HG,Slogan,Tags,Price,Player,Time,Age,Year,Manufacture,Equipment,Url_game_hg,Transliterated_name
Детективные хроники: Казино,https://hobbygames.ru/image/cache/hobbygames_beta/data/HobbyWorld/Detektivnie_hroniki_Kazino_Mrachnij_zhnec/HG/Mrachnij_zhnec_00-1000x416-wm.jpg,Ставка слишком высока,"Детективные хроники,Детективные игры,Игры для компании,Карточные игры,Логические игры",690 ,1-6,60,18+,2022,Hobby World,"59 карт,7 цветных скрепок ,Размер коробки: 96x125x25 мм,Размер карт: 87x112 (рекомендуются данные протекторы,59 шт.),Вес: 0.192 кг",https://hobbygames.ru/detektivnie-hroniki-kazino-mrachnij-zhnec,Detektivnye hroniki: Kazino
Неудержимые единорожки 18+,https://hobbygames.ru/image/cache/hobbygames_beta/data/HobbyWorld/Neuderzhimye_Edinorozhki18/Photos/Neuderzhimye_Edinorozhki18_00-1000x416-wm.jpg,Взрослый ржач,"Неудержимые единорожки,Новинки 2022 года,Вечериночные игры,Выбор настольщика 2022,Игры для взрослых,Игры для компании,Карточные игры",990 ,2-8,30-60,18+,2021,Hobby World,"135 карт,Правила игры ,Размер коробки: 165x114x41 мм,Размер карт: 63x88 мм (рекомендуются протекторы из данного раздела,135 шт.),Вес: 0.34 кг",https://hobbygames.ru/neuderzhimie-edinorozhki-18,Neuderzhimye edinorozhki 18+
Игра Престолов: Мать драконов,https://hobbygames.ru/image/cache/hobbygames_beta/data/HobbyWorld/Game_of_Thrones/Mat_Drakonov/AGOT_mother_dragon-1000x416-wm.jpg,В игру престолов вступает новый претендент,"Игра Престолов. Настольная игра,Стратегические игры,Хардкорные игры",2 990 ,3-8,120-240,13+,2019,Hobby World,"Большое дополнительное поле Эссоса,48 отрядов (в том числе 3 дракона),Новая колода Вестероса из 10 карт,12 карт займов в Железном банке,21 карта домов,2 ширмы домов,14 карт вассалов,Жетон Браавоса,40 жетонов власти,30 жетонов приказов,2 жетона снабжения,3 жетона влияния,2 жетона победы,16 жетонов приказов вассалам,2 жетона гарнизонов,15 жетонов развития/упадка областей,24 жетона морских приказов,20 жетонов верности Таргариенам,5 жетонов силы драконов,Накладка на игровое поле ""Укус"",Накладка на игровое поле ""Орлиное Гнездо"" ,Размер коробки: 255x255x62 мм,Размер карт: 41x63 мм,57x89 мм,Вес: 0.96 кг",https://hobbygames.ru/igra-prestolov-mat-drakonov,Igra Prestolov: Mat' drakonov
Шакал: Архипелаг. Остров Пятницы,https://hobbygames.ru/image/cache/hobbygames_beta/data/Magellan/Shakal_Arhipelag/Ostrov_Pyatnici/2021/hg/Shakal_Arhipelag_Ostrov_Pyatnici-1000x416-wm.jpg,Добродушный туземец,"Шакал,Приключенческие игры,Семейные игры",490 ,1-4,30-45,6+,2021,Magellan,"12 новых клеток острова,4 монеты,3 карты пиратских способностей,4 фишки бутылок с посланиями,Фигурка Пятницы,2 карты с пиратскими задачами,Наклейки в правила ""Архипелага"",расширяющие возможности игры ,Размер коробки: 105х150x37 мм,Размер карт: 63х89 мм (рекомендуются протекторы из данного раздела,3 шт.),Вес: 0.115 кг",https://hobbygames.ru/shakal-arhipelag-ostrov-pjatnici,Shakal: Arhipelag. Ostrov Pjatnitsy
Декодер,https://hobbygames.ru/image/cache/hobbygames_beta/data/Lavka_Games/Decoder/Dekoder-1000x416-wm.jpg,Что же там?,"Декодер,Игры для компании,Кооперативные игры,Логические игры,Семейные игры",1 750 ,3-8,20-40,10+,2019,Lavka Games,"Песочные часы,2 картонных компьютера ,110 карт (440 слов),48 карт-кодов,8 жетонов,Правила игры,Вес: 0.52 кг",https://hobbygames.ru/dekoder,Dekoder
Nanty Narking. Битва за Лондон,https://hobbygames.ru/image/cache/hobbygames_beta/data/Choo_Choo_Games/Nanty_Narking/nanty_narking-1000x416-wm.JPG,Подпольные разборки на Темзе,"Приключенческие игры,Стратегические игры",3 990 ,2-4,60+,13+,2023,Choo Choo Games,"Игровое поле,79 картонных фигурок,55 круглых подставок,24 квадратных подставки,161 карта ,4 памятки,62 жетона,Двенадцатигранный кубик,Правила игры ,Размер коробки: 291х291х82 мм,Размер карт: 57х88 мм (рекомендуются протекторы из данного раздела,161 шт.),Вес: 2.05 кг",https://hobbygames.ru/nanty-narking-bitva-za-london,Nanty Narking. Bitva za London
Лоскутное королевство,https://hobbygames.ru/image/cache/hobbygames_beta/data/Style_Jizny/Loskutnoe_Korolevstvo/Loskutnoe_Korolevstvo-1000x416-wm.jpg,Станьте величественным лордом!,"Лоскутное королевство,Семейные игры,Стратегические игры",1 690 ,2-4,15,8+,2018,Стиль Жизни,"4 квадратных стартовых участка,48 двусторонних участков,4 замка,По 2 короля 4 разных цветов,Правила игры ,Размер коробки: 260х190х60 мм,Вес: 0.65 кг",https://hobbygames.ru/loskutnoe-korolevstvo,Loskutnoe korolevstvo
Кошки-Мышки,https://hobbygames.ru/image/cache/hobbygames_beta/data/Ravensburger/Koshki_Mishki/hg/Cat_n_Mouse-1000x416-wm.jpg,Сырные гонки,"Детские игры,Интерактивные игры",3 250 ,2-4,20,4+,2022,Ravensburger,"Игровое поле,Фигурка кота Макса,4 фигурки мышек,17 жетонов сыра,3 лесенки,Кубик с точками,Кубик с лапками,Правила игры,Вес: 0.805 кг",https://hobbygames.ru/koshki-mishki-ravensburger,Koshki-Myshki
Холодное сердце 2: Волшебное приключение,https://hobbygames.ru/image/cache/hobbygames_beta/data/HobbyWorld/Holodnoe_serdce/Volshebnoe_priklucheniye/Frozen_heart_volshebnoe_priklucheniye_1-1000x416-wm.jpg,Соберите все времена года!,"Детские игры,Холодное сердце,Disney,Семейные игры",990 ,2-4,20-30,6+,2019,Hobby World,"16 квадратов игрового поля,16 карт игроков,36 жетонов времён года,4 фишки игроков с подставками,4 кубика игроков,Правила игры ,Размер коробки: 204x204x47 мм,Размер карт: 63x89 мм,Вес: 0.28 кг",https://hobbygames.ru/holodnoe-serdce-2-volshebnoe-prikljuchenie,Holodnoe serdtse 2: Volshebnoe prikljuchenie
EXIT-Квест: Гробница фараона,https://hobbygames.ru/image/cache/hobbygames_beta/data/Zvezda/EXIT_kvest/Grobnica_faraona/Grobnica_Faraona-1000x416-wm.jpg,Разгадайте тайну египетского царя,"Детективные игры,Игры для компании,Квесты,Кооперативные игры,Логические игры,EXIT-Квест,Семейные игры",990 ,1-6,45-90,12+,2018,Zvezda,"83 карты ,Диск декодер,Две странные штуковины,Книга с историей,Правила игры ,Размер коробки: 160x160x70 мм ,Вес: 0.275 кг",https://hobbygames.ru/exit-kvest-grobnica-faraona,EXIT-Kvest: Grobnitsa faraona
Индустрия: Интербеллум,https://hobbygames.ru/image/cache/hobbygames_beta/data/HobbyWorld/Industrija/Interbellum/HG/industriya_interbellum-1000x416-wm.jpg,Эпоха джаза и дирижаблей,"Индустрия,Игры для компании,Стратегические игры,Экономические игры",1 490 ,1-5,30-60,12+,2022,Hobby World,"4 карты стартовых предприятий,4 карты агентов,24 карты предприятий,5 карт промышленников,3 карты университетов,15 жетонов управляющих,30 фишек ресурсов,10 жетонов денег,9 дисков капитала,Жетон игрока,Правила дополнения ,Размер коробки: 157x235x47 мм,Размер карт: 63x89 мм (рекомендуются протекторы из данного раздела,40 шт.),Вес: 0.355 кг",https://hobbygames.ru/industrija-interbellum,Industrija: Interbellum
Магнитус,https://hobbygames.ru/image/cache/hobbygames_beta/data/Fabrika_Igr/Magnitus/Magnituss-1000x416-wm.jpg,Создайте свою галактику,"Магнитус,Вечериночные игры,Интерактивные игры,Семейные игры",1 290 ,1-4,30+,10+,2021,Фабрика игр,"4 треугольных игровых поля,20 магнитов разной формы,Правила игры ,Размер коробки: 235x156x51 мм,Вес: 0.69 кг",https://hobbygames.ru/magnitus,Magnitus
Комикс-игра,https://hobbygames.ru/image/cache/hobbygames_beta/data/HobbyWorld/Sherlock_Moriarti/Sherlok_Holms_I_Moriarti-1000x416-wm.jpg,Злодей идёт по следу,"Комикс-игры про Шерлока Холмса,Детективные игры,Комиксы,книги,манга,Игры в дорогу,Игры для взрослых,Книги-игры,Приключенческие игры",990 ,1+,,18+,2021,Hobby World,"Твердая обложка,144 страницы,Вес: 0.405 кг",https://hobbygames.ru/komiks-igra-sherlok-holms-i-moriarti,Komiks-igra
Комикс-игра,https://hobbygames.ru/image/cache/hobbygames_beta/data/HobbyWorld/Legenda_O_Rytsaryah/Legenda_O_Ricaryah-1000x416-wm.jpg,Дорожно-отважное приключение,"Комикс-игры ""Легенда о рыцарях"",Комиксы,книги,манга,Игры в дорогу,Книги-игры,Приключенческие игры",990 ,1+,,12+,2020,Hobby World,"Твердая обложка,176 полос,Вес: 0.475 кг",https://hobbygames.ru/komiks-igra-legenda-o-ricarjah,Komiks-igra
Сумерки Венеции,https://hobbygames.ru/image/cache/hobbygames_beta/data/Zvezda/Sumerki_Venecy/Sumerki_Venecii-1000x416-wm.jpg,"Особняк стоит, свет горит","Дуэльные игры,Карточные игры,Семейные игры,Стратегические игры",1 490 ,2,20-30,10+,2021,Zvezda,"54 карточки,2 памятки,6 деревянных фишек,Игровое поле,Правила игры ,Размер коробки: 163x243x58 мм,Размер карт: 63x115 мм (рекомендуются данные протекторы,56 шт.),Вес: 0.43 кг",https://hobbygames.ru/sumerki-venecii,Sumerki Venetsii
Декодер: Лазерный диск,https://hobbygames.ru/image/cache/hobbygames_beta/data/Lavka_Games/Decoder/Laser_Disk/Dekoder_Lazerniy_Disk-1000x416-wm.jpg,Новый путь к победе!,"Декодер,Игры для компании,Кооперативные игры,Логические игры,Семейные игры",750 ,3-8,15-45,12+,2020,Lavka Games,"53 карты приводов (категорий),6 красных жетонов лазерных дисков,2 жетона перехвата,2 справки,Правила игры,Вес: 0.22 кг",https://hobbygames.ru/dekoder-lazernij-disk,Dekoder: Lazernyj disk
Чёрный ангел,https://hobbygames.ru/image/cache/hobbygames_beta/data/CrowD_Games/Black_Angel/Cherniy_Angel-1000x416-wm.jpg,Искусственный интеллект спасает человечество,"Кооперативные игры,Стратегические игры,Экономические игры",5 490 ,1-4,60-120,14+,2020,Crowd Games,"План ""Чёрного ангела"" (игровое поле),4 планшета игроков,7 двухсторонних частей планшета космоса,Жетон и фишка планеты Спес,Фигурка ""Чёрного ангела"" ,20 фигурок космических кораблей,64 фигурки роботов,18 кубиков,76 жетонов технологий,60 карт делегаций,30 карт Разорителей,8 фишек игроков,40 ресурсов,30 фишек повреждений/обломков,Жетон первого игрока,12 карт Эала,4 памятки,Правила игры ,Размер коробки: 280x400x80 мм,Размер карт: 44x67 мм (рекомендуются протекторы из данного раздела,102 шт.),Вес: 2.86 кг",https://hobbygames.ru/chernij-angel,Chernyj angel
Штука: Другие миры,https://hobbygames.ru/image/cache/hobbygames_beta/data/Ekivoki/Shtuka/Drugie_miry/HG/Shtuka-1000x416-wm.jpg,Ужинаем в Поднебесной!,"Вечериночные игры,Игры для компании,Интерактивные игры,Игры на внимание,Экивоки,Семейные игры",1 990 ,3-7,40-60,12+,2021,Экивоки,"90 карточек,7 фишек,Игровое поле,Штука,24 игровых планшета (3 комплекта по 8),Вес: 0.96 кг",https://hobbygames.ru/shtuka-drugie-miri,Shtuka: Drugie miry
Набор игр,https://hobbygames.ru/image/cache/hobbygames_beta/data/hobbygames/Bundle/TTR_Europe_1912_Bundle -1000x416-wm.jpg,Пора посетить солнечный Константинополь!,"Игры для компании,Наборы игр,Ticket To Ride (Билет на Поезд),Семейные игры,Стратегические игры",4 914 ,2-5,30-60,8+,2016,Hobby World,"""Ticket to Ride: Европа"",""Ticket to Ride. Европа: 1912"",Вес: 1.83 кг",https://hobbygames.ru/ticket-to-ride-evropa-dopolnenie-evropa-1912,Nabor igr
EXIT-Квест: Полёт в неизвестность,https://hobbygames.ru/image/cache/hobbygames_beta/data/Zvezda/EXIT_kvest/Polet_v_neizvestnost/Exit_Polet-1000x416-wm.jpg,Борьба за жизнь!,"Игры для компании,Квесты,Кооперативные игры,Логические игры,EXIT-Квест,Семейные игры",990 ,1-4,45-90,10+,2021,Zvezda,"Диск декодер,87 игровых карточек,Карточка зеркала,4 странных предмета,Книга,Лист ""Инструкция безопасности"",Правила игры ,Размер коробки: 160x160x66 мм,Вес: 0.3 кг",https://hobbygames.ru/exit-kvest-polet-v-neizvestnost,EXIT-Kvest: Polet v neizvestnost'
